Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
CLE,CLE vs. MIA,02/24/2020,2019-20,W,265,125,43,97,44.3,14,37,37.8,25,34,73.5,13,40,53,25,8,6,12,20,6
MIA,MIA @ CLE,02/24/2020,2019-20,L,265,119,44,96,45.8,16,42,38.1,15,20,75.0,9,40,49,33,6,11,15,22,-6
LAC,LAC vs. MEM,02/24/2020,2019-20,W,240,124,47,94,50.0,16,37,43.2,14,17,82.4,11,39,50,33,7,5,12,20,27
MEM,MEM @ LAC,02/24/2020,2019-20,L,240,97,37,89,41.6,7,27,25.9,16,22,72.7,11,34,45,20,6,7,13,18,-27
ORL,ORL @ BKN,02/24/2020,2019-20,W,240,115,44,89,49.4,13,34,38.2,14,17,82.4,7,34,41,27,6,9,10,11,2
BKN,BKN vs. ORL,02/24/2020,2019-20,L,240,113,46,96,47.9,16,37,43.2,5,8,62.5,13,36,49,29,6,3,12,19,-2
ATL,ATL @ PHI,02/24/2020,2019-20,L,240,112,40,97,41.2,8,38,21.1,24,27,88.9,14,30,44,19,5,2,13,26,-17
PHI,PHI vs. ATL,02/24/2020,2019-20,W,240,129,45,88,51.1,12,30,40.0,27,30,90.0,9,39,48,27,9,5,12,22,17
OKC,OKC vs. SAS,02/23/2020,2019-20,W,240,131,50,87,57.5,10,22,45.5,21,24,87.5,6,48,54,28,7,7,13,17,28
SAS,SAS @ OKC,02/23/2020,2019-20,L,240,103,38,103,36.9,11,38,28.9,16,19,84.2,14,29,43,27,5,1,9,23,-28
IND,IND @ TOR,02/23/2020,2019-20,L,240,81,31,95,32.6,8,33,24.2,11,17,64.7,12,27,39,23,13,4,18,20,-46
TOR,TOR vs. IND,02/23/2020,2019-20,W,240,127,47,92,51.1,17,44,38.6,16,18,88.9,10,47,57,32,9,10,17,21,46
MIN,MIN @ DEN,02/23/2020,2019-20,L,240,116,40,90,44.4,14,40,35.0,22,29,75.9,9,29,38,26,7,2,15,16,-12
DEN,DEN vs. MIN,02/23/2020,2019-20,W,240,128,53,90,58.9,11,30,36.7,11,17,64.7,5,33,38,29,9,7,14,24,12
DET,DET @ POR,02/23/2020,2019-20,L,240,104,37,86,43.0,11,35,31.4,19,20,95.0,11,33,44,18,7,5,11,17,-3
POR,POR vs. DET,02/23/2020,2019-20,W,240,107,41,84,48.8,13,30,43.3,12,19,63.2,9,32,41,20,6,5,10,18,3
CHI,CHI vs. WAS,02/23/2020,2019-20,W,240,126,45,81,55.6,18,37,48.6,18,28,64.3,10,27,37,27,15,4,29,28,9
WAS,WAS @ CHI,02/23/2020,2019-20,L,240,117,37,73,50.7,12,30,40.0,31,36,86.1,7,27,34,24,15,3,24,27,-9
LAL,LAL vs. BOS,02/23/2020,2019-20,W,240,114,39,86,45.3,11,34,32.4,25,37,67.6,11,35,46,20,9,4,13,22,2
BOS,BOS @ LAL,02/23/2020,2019-20,L,240,112,38,83,45.8,13,34,38.2,23,30,76.7,8,36,44,20,7,3,17,29,-2
GSW,GSW vs. NOP,02/23/2020,2019-20,L,240,101,40,92,43.5,11,35,31.4,10,15,66.7,11,37,48,28,9,7,15,16,-14
NOP,NOP @ GSW,02/23/2020,2019-20,W,240,115,46,98,46.9,17,42,40.5,6,13,46.2,14,38,52,34,7,5,13,15,14
CHA,CHA vs. BKN,02/22/2020,2019-20,L,240,86,31,88,35.2,12,35,34.3,12,21,57.1,9,36,45,22,5,2,13,16,-29
BKN,BKN @ CHA,02/22/2020,2019-20,W,240,115,42,87,48.3,17,47,36.2,14,19,73.7,9,45,54,26,10,6,10,20,29
MIL,MIL vs. PHI,02/22/2020,2019-20,W,240,119,48,91,52.7,14,41,34.1,9,13,69.2,8,49,57,35,2,6,17,16,21
PHI,PHI @ MIL,02/22/2020,2019-20,L,240,98,35,99,35.4,13,38,34.2,15,18,83.3,11,32,43,17,10,4,12,17,-21
DAL,DAL @ ATL,02/22/2020,2019-20,L,240,107,40,89,44.9,14,44,31.8,13,19,68.4,10,38,48,23,5,10,16,22,-4
